topic_label,super_topic,abs_rho,spearman_rho,ci_sig,fdr_q_value,n_subtopics,ctm_topic_id,jaccard
Literary Analysis Help,Education & Homework,0.1828954390075824,-0.1828954390075824,False,0.6990645651867834,1,38,0.0588
Poetry Writing Help,Creative Writing & Roleplay,0.1097939055973263,-0.1097939055973263,False,0.8600668060172577,1,41,0.0588
Physics Problem Solving,Education & Homework,0.2953187267816304,0.2953187267816304,False,0.621287248949923,1,37,0.0588
Personal Finance Questions,"Finance, Law, and Practical Life",0.0432599462836173,-0.0432599462836173,False,0.8375785590819649,1,4,0.0588
Mixed/Unclear: year/date mix,Information/Trivia & Explanatory QA,0.1720117831807987,0.1720117831807987,False,0.7006561915345328,1,4,0.0588
Mixed/Unclear: animals/images,Information/Trivia & Explanatory QA,0.0478200079760055,0.0478200079760055,False,0.835351027759419,1,48,0.0588
Python Troubleshooting,Coding & Technical Help,0.1286040038890731,0.1286040038890731,False,0.8240738795334718,1,5,0.0588
Real Estate Writing,Career & Professional Writing,0.1091053200187906,0.1091053200187906,False,0.8600668060172577,1,25,0.0588
AI Concept Questions,Information/Trivia & Explanatory QA,0.0665808251359937,0.0665808251359937,False,0.8903288881593535,1,2,0.0588
SQL Query Help,Coding & Technical Help,0.2945393517319257,0.2945393517319257,False,0.6147020741256545,1,50,0.0588
Game Concept Ideation,"Media, Art, and Entertainment",0.4399192099404694,0.4399192099404694,True,0.1717567422433704,1,59,0.0588
SCP Creative Writing,Creative Writing & Roleplay,0.5328603693040082,0.5328603693040082,True,0.0433151169942452,1,36,0.0588
Versus Battle Scenarios,"Media, Art, and Entertainment",0.0723657356267454,-0.0723657356267454,False,0.835351027759419,1,28,0.0588
Art History Questions,"Media, Art, and Entertainment",0.0911596924011707,0.0911596924011707,False,0.835351027759419,1,7,0.0588
Image Generation Requests,"Media, Art, and Entertainment",0.5177551087670571,-0.5177551087670571,True,0.0433151169942452,1,55,0.0588
Food & Recipe Help,"Finance, Law, and Practical Life",0.2069855755138867,-0.2069855755138867,False,0.6990645651867834,1,65,0.0588
Fantasy Crossover Fanfiction,Creative Writing & Roleplay,0.3081702079237118,-0.3081702079237118,False,0.5987624720530634,1,69,0.0588
Time & Space Questions,Information/Trivia & Explanatory QA,0.0645388274654659,0.0645388274654659,False,0.835351027759419,1,4,0.0588
Wizard101 Fan Fiction,Creative Writing & Roleplay,0.0497675394681245,0.0497675394681245,False,0.835351027759419,1,14,0.0588
Web Development Help,Coding & Technical Help,0.148419901189183,0.148419901189183,False,0.7171665797564347,1,8,0.0588
Image Prompt Expansion,"Media, Art, and Entertainment",0.0944912135793959,0.0944912135793959,False,0.8729092776666103,1,31,0.0588
Computer Tech Support,Coding & Technical Help,0.1416385302025682,0.1416385302025682,False,0.8240738795334718,1,36,0.0588
Chemistry Homework Help,Education & Homework,0.0503898908408747,0.0503898908408747,False,0.9270888039025892,1,37,0.0588
Casual Conversation Opening,Personal Advice & Communication,0.1459647328348628,-0.1459647328348628,False,0.7171665797564347,1,6,0.0588
Cast List Generation,"Media, Art, and Entertainment",0.1267683025852141,-0.1267683025852141,False,0.7616423917118728,1,4,0.0588
Brand Name Ideation,Career & Professional Writing,0.1666925778857394,0.1666925778857394,False,0.7126038524772634,1,5,0.0556
Simple Greeting,Personal Advice & Communication,0.2289870015107768,-0.2289870015107768,False,0.6990645651867834,2,6,0.0476
Song Lyric Writing,Creative Writing & Roleplay,0.2041210983376211,-0.2041210983376211,False,0.7172131442807851,1,-1,0.0
Warcraft Fan Fiction,Creative Writing & Roleplay,0.0676471188125221,-0.0676471188125221,False,0.8903288881593535,1,-1,0.0
Travel Planning Help,"Finance, Law, and Practical Life",0.1489813760181172,0.1489813760181172,False,0.7171665797564347,1,-1,0.0
Translation & Word Meanings,Information/Trivia & Explanatory QA,0.2240957670771571,0.2240957670771571,False,0.7172131442807851,1,-1,0.0
Social Media Copy,Career & Professional Writing,0.3712652514807285,0.3712652514807285,False,0.4578052891270917,1,-1,0.0
AI Art Prompting,"Media, Art, and Entertainment",0.3998712998979897,0.3998712998979897,True,0.2840007935455234,5,-1,0.0
Mind & Consciousness,Information/Trivia & Explanatory QA,0.3439439593301266,0.3439439593301266,False,0.4730788685449423,1,-1,0.0
Religion & Theology,"Politics, Religion, and Society",0.1543118698074892,0.1543118698074892,False,0.7171665797564347,1,-1,0.0
Essay Writing Help,Education & Homework,0.245618760643784,-0.245618760643784,False,0.621287248949923,1,-1,0.0
Battery/Vehicle Questions,"Finance, Law, and Practical Life",0.2037190485257084,0.2037190485257084,False,0.7172131442807851,1,-1,0.0
Biology & Health Questions,"Health, Biology, and Medicine",0.0155837504484069,-0.0155837504484069,False,0.9970261825050027,1,-1,0.0
Cartoon Crossover Concepts,"Media, Art, and Entertainment",0.0912927973621794,-0.0912927973621794,False,0.8729092776666103,1,-1,0.0
DC Character Concepts,"Media, Art, and Entertainment",0.0657166140742767,0.0657166140742767,False,0.835351027759419,1,-1,0.0
DDLC Fan Fiction,Creative Writing & Roleplay,0.0685650321320992,0.0685650321320992,False,0.8903288881593535,1,-1,0.0
Education Research Writing,Education & Homework,0.3849072043838902,0.3849072043838902,False,0.2903411013512791,1,-1,0.0
Fan Crossover Shipping,Creative Writing & Roleplay,0.1766454417299788,-0.1766454417299788,False,0.7172131442807851,1,-1,0.0
Relationship Message Help,Personal Advice & Communication,0.0475270542209844,0.0475270542209844,False,0.835351027759419,1,-1,0.0
Jokes & Humor,"Media, Art, and Entertainment",0.1771263330079229,0.1771263330079229,False,0.7172131442807851,1,-1,0.0
Konosuba Fan Fiction,Creative Writing & Roleplay,0.0664327477511302,0.0664327477511302,False,0.835351027759419,1,-1,0.0
Mental Health Questions,"Health, Biology, and Medicine",0.1735574551775199,-0.1735574551775199,False,0.7172131442807851,1,-1,0.0
Music Theory Help,Education & Homework,0.0835933670571658,0.0835933670571658,False,0.8741111919149003,1,-1,0.0
Name & Person Lookup,Information/Trivia & Explanatory QA,0.1757498534003127,0.1757498534003127,False,0.6990645651867834,1,-1,0.0
Prompt Jailbreak Attempts,Coding & Technical Help,0.1868966420425227,-0.1868966420425227,False,0.7172131442807851,1,-1,0.0
WordGirl Fan Fiction,Creative Writing & Roleplay,0.2574620260506847,0.2574620260506847,False,0.621287248949923,1,-1,0.0
