topic,weighted_dispersion,perm_p_value,n_states,total_docs,fdr_q_value,significant_fdr
topic_merged_32,0.00010070552928919597,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_33,0.0014930581683848968,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_34,3.052747128878716e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_35,0.0004007584408595993,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_36,2.329702909841221e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_37,1.8787180560206995e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_38,0.005743837032860216,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_39,0.0006274954678062238,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_40,1.0267465859961029e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_41,0.00039641774546970255,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_42,4.5162513431411047e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_43,5.783064919096626e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_44,0.005035601490600508,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_45,0.0004819490676456992,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_46,0.0001356764396067528,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_47,0.0005576695353238333,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_48,0.00010208691834537999,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_49,0.00046292672224473527,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_50,0.0001648799858839971,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_51,0.00031935115988755377,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_52,0.0008062970158389199,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_53,0.0010040905515151463,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_54,0.00011752295772597763,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_55,5.388227549743215e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_56,0.009700001748104942,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_57,0.00016298002182108402,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_58,0.00024930204312672834,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_59,0.0017045402203751691,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_60,3.801172828267724e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_61,0.03569878850718317,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_62,2.6886904622661024e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_63,3.0381749785594932e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_64,0.014886430236398735,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_65,5.568523986604148e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_66,0.004107246540400086,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_67,3.434157793189886e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_68,0.0005632610221870734,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_69,2.7615658467794436e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_70,0.00015622401931859875,0.0001999600079984003,36,68668,0.0001999600079984003,True
