topic,log_odds,z_score,group1_mean,group2_mean,significant,direction
topic_68,0.2957589442071775,0.047221554732601416,0.005522603080233182,0.0038318933445488745,False,high_income
topic_43,0.38596137875329806,0.041589503221820666,0.002075078380651919,0.0010568898660720755,False,high_income
topic_23,0.09837873685495113,0.029384958084418523,0.01972001756356858,0.017802297154435306,False,high_income
topic_58,0.12800802469361194,0.02466880833807985,0.007700784568547041,0.00664957990152648,False,high_income
topic_49,0.07502644503212252,0.012732437182845864,0.005536709468841312,0.005058931945897794,False,high_income
topic_46,0.14295346228711825,0.011818917939286272,0.0005244140128283165,0.0003068377791215929,False,high_income
topic_27,0.13942140717238605,0.010195517422244208,0.00016603584196301602,0.0,False,high_income
topic_20,0.03995312165075937,0.010114507016498478,0.013417417077892145,0.012855728243892082,False,high_income
topic_1,0.09419272020113922,0.009093419488288759,0.001062097703909218,0.0008670985643325199,False,high_income
topic_71,0.0997597218977413,0.008164674585716836,0.0004553734061930783,0.0003068377791215929,False,high_income
topic_61,0.07475099712182143,0.005673978731777588,0.00021886627270737577,0.0001231830500123183,False,high_income
topic_73,0.0,0.0,0.0,0.0,False,low_income
topic_9,-0.0147554426310057,-0.001797880178680787,0.002163968665096557,0.002212503001447466,False,low_income
topic_57,-0.05551290666701636,-0.004079486933050644,5.6602705609328126e-05,0.0001231830500123183,False,low_income
topic_75,-0.0729162530138634,-0.005334428263589125,3.6477712117895966e-05,0.0001231830500123183,False,low_income
topic_45,-0.03352557292619274,-0.006597090512513563,0.007352930576538678,0.007639174205098489,False,low_income
topic_21,-0.03686039739433333,-0.009552633274684936,0.013547453963574922,0.014090140912924607,False,low_income
topic_8,-0.025858569046688373,-0.009868933640318912,0.03085616487983237,0.03166826107902624,False,low_income
topic_17,-0.07543911355711375,-0.02347463233345161,0.019639581925692543,0.021232055298649667,False,low_income
topic_29,-0.37795031941260504,-0.03633463805133625,0.0006200092804655195,0.001413245537414052,False,low_income
topic_66,-0.4615996407401335,-0.04704353028985957,0.0007710554600841722,0.0018721158295123869,False,low_income
topic_70,-0.39518625735879187,-0.060375050450568735,0.00323246956510193,0.0053251381106691744,False,low_income
topic_67,-0.6194051763279198,-0.07210740716901078,0.0012066952146564563,0.0031870814575914353,False,low_income
topic_65,-0.4545871175602878,-0.07590641560144737,0.003958496716090471,0.006854739368508054,False,low_income
topic_37,-0.22272974133777668,-0.0791456330646399,0.024212794640015023,0.030347400101602584,False,low_income
topic_14,-0.24451045216082345,-0.08218570934619848,0.021328732496860337,0.027381169456245295,False,low_income
topic_44,-0.9526127219614544,-0.08716118589573656,0.0001785603729551555,0.0022260089952798965,False,low_income
topic_36,-0.4389794481923506,-0.09261840544352361,0.00703692960234732,0.011475386148156337,False,low_income
topic_0,-0.4162275653803409,-0.10152296885069997,0.009881777875759829,0.01546987866094968,False,low_income
topic_31,-0.3451824356204809,-0.10353754541426044,0.0160102032470674,0.022912065629526537,False,low_income
topic_42,-0.7508412754372529,-0.11264840067805165,0.0025747521947570248,0.006668844947580375,False,low_income
topic_12,-0.3791479335221952,-0.12749542730158805,0.020129971593877215,0.029645200542901366,False,low_income
topic_16,-0.42670522949826095,-0.14041822243517285,0.01885106605501344,0.02917822257978495,False,low_income
topic_30,-0.41938707123368957,-0.1405239145986446,0.019646765925524987,0.03015044171795804,False,low_income
topic_18,-0.8709013553813545,-0.14260354756682847,0.003121676372264557,0.008946754583997948,False,low_income
topic_33,-0.6618199018191477,-0.14695953451373808,0.00721439555434987,0.014910939965716971,False,low_income
topic_19,-0.4070213963950202,-0.15085105805791682,0.024430413038034025,0.036812163254579255,False,low_income
topic_52,-1.7366431658083599,-0.16007765433524684,0.0,0.00516795865633075,False,low_income
topic_39,-0.7724705785900623,-0.16549924369898703,0.006363611320383512,0.014943545255756883,False,low_income
topic_38,-0.6471806147210866,-0.16654131023407556,0.010135063199495111,0.020169880250728238,False,low_income
topic_69,-0.9196826688546063,-0.17962660406055966,0.00483115971674659,0.013672838765342693,False,low_income
topic_5,-1.101629083425375,-0.19463730094175824,0.0035199320628022646,0.012705454285107911,False,low_income
topic_40,-0.737169987400764,-0.194665752026203,0.010387198382911892,0.022645929692105608,False,low_income
topic_22,-0.6713382414028262,-0.22151445962230637,0.01726804965722714,0.03428029483542996,False,low_income
topic_32,-0.6054073520763659,-0.22286444780849451,0.022312768141246567,0.041043827054999295,False,low_income
topic_35,-0.6942395967726283,-0.22728040080120143,0.01684406347103113,0.03425170554509393,False,low_income
topic_6,-0.5358756733329249,-0.2384806279601715,0.034067541732809896,0.05765573814979985,False,low_income
topic_56,-1.3948548246730397,-0.2439458427780217,0.0031397820383747676,0.015837055749861002,False,low_income
topic_59,-2.406899110584617,-0.2538534896093145,0.00023761154200123888,0.013673318551367332,False,low_income
topic_11,-1.796915102962961,-0.25760974393455344,0.0015558589931988704,0.014776844329768953,False,low_income
topic_64,-1.3905053260939182,-0.3021227868256532,0.005464022553290225,0.02482597306506525,False,low_income
topic_34,-1.1726630352440948,-0.30840060759415056,0.009002143580996302,0.030894828012558155,False,low_income
topic_10,-1.8199112499661823,-0.5442027502095456,0.010523359515276502,0.06691471874657658,False,low_income
